LECROYWR6050A,16172,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,11-Jun-2009 13:00:58,0                 
Time,Ampl
2.729591e-007,-0.0658611
2.731591e-007,-0.0669142
2.733591e-007,-0.0673458
2.735591e-007,-0.0669314
2.737591e-007,-0.0676047
2.739591e-007,-0.0695037
2.741591e-007,-0.0711437
2.743591e-007,-0.0710574
2.745591e-007,-0.0688822
2.747591e-007,-0.0668106
2.749591e-007,-0.0671559
2.751591e-007,-0.0688477
2.753591e-007,-0.0696591
2.755591e-007,-0.0692102
2.757591e-007,-0.067294
2.759591e-007,-0.0639621
2.761591e-007,-0.0614589
2.763591e-007,-0.0617869
2.765591e-007,-0.0635305
2.767591e-007,-0.064152
2.769591e-007,-0.0646009
2.771591e-007,-0.0672076
2.773591e-007,-0.070246
2.775591e-007,-0.0704359
2.777591e-007,-0.0683988
2.779591e-007,-0.0665689
2.781591e-007,-0.0659819
2.783591e-007,-0.0668969
2.785591e-007,-0.0685197
2.787591e-007,-0.0684334
2.789591e-007,-0.0657748
2.791591e-007,-0.0637032
2.793591e-007,-0.0641175
2.795591e-007,-0.0645145
2.797591e-007,-0.0638931
2.799591e-007,-0.0644628
2.801591e-007,-0.065792
2.803591e-007,-0.0659129
2.805591e-007,-0.0662582
2.807591e-007,-0.0683988
2.809591e-007,-0.0700216
2.811591e-007,-0.0685887
2.813591e-007,-0.0654295
2.815591e-007,-0.0638067
2.817591e-007,-0.0650842
2.819591e-007,-0.067622
2.821591e-007,-0.0684334
2.823591e-007,-0.067035
2.825591e-007,-0.0663099
2.827591e-007,-0.0675184
2.829591e-007,-0.0682607
2.831591e-007,-0.0668624
2.833591e-007,-0.0647562
2.835591e-007,-0.0634442
2.837591e-007,-0.0637549
2.839591e-007,-0.0664135
2.841591e-007,-0.0694001
2.843591e-007,-0.0692102
2.845591e-007,-0.066638
2.847591e-007,-0.0659474
2.849591e-007,-0.0675702
2.851591e-007,-0.0675529
2.853591e-007,-0.0645663
2.855591e-007,-0.0628055
2.857591e-007,-0.065136
2.859591e-007,-0.0680708
2.861591e-007,-0.067691
2.863591e-007,-0.065792
2.865591e-007,-0.0653777
2.867591e-007,-0.0655849
2.869591e-007,-0.064808
2.871591e-007,-0.0643592
2.873591e-007,-0.0654813
2.875591e-007,-0.0665516
2.877591e-007,-0.0657057
2.879591e-007,-0.0635996
2.881591e-007,-0.0623048
2.883591e-007,-0.0623911
2.885591e-007,-0.0625638
2.887591e-007,-0.0625292
2.889591e-007,-0.0633579
2.891591e-007,-0.0649289
2.893591e-007,-0.0661028
2.895591e-007,-0.0663963
2.897591e-007,-0.0662409
2.899591e-007,-0.0659819
2.901591e-007,-0.0654295
2.903591e-007,-0.0645491
2.905591e-007,-0.0643074
2.907591e-007,-0.0647044
2.909591e-007,-0.064152
2.911591e-007,-0.0631335
2.913591e-007,-0.0642729
2.915591e-007,-0.066707
2.917591e-007,-0.0661718
2.919591e-007,-0.0628227
2.921591e-007,-0.0621494
2.923591e-007,-0.0662754
2.925591e-007,-0.0701424
2.927591e-007,-0.0693483
2.929591e-007,-0.0660855
2.931591e-007,-0.0642383
2.933591e-007,-0.0637549
2.935591e-007,-0.0640139
2.937591e-007,-0.0661546
2.939591e-007,-0.0686578
2.941591e-007,-0.0682953
2.943591e-007,-0.0665862
2.945591e-007,-0.0670868
2.947591e-007,-0.0686923
2.949591e-007,-0.0682953
2.951591e-007,-0.0664481
2.953591e-007,-0.0655849
2.955591e-007,-0.066051
2.957591e-007,-0.0664481
2.959591e-007,-0.0662754
2.961591e-007,-0.0659647
2.963591e-007,-0.0652569
2.965591e-007,-0.0638585
2.967591e-007,-0.063565
2.969591e-007,-0.0663617
2.971591e-007,-0.0700216
2.973591e-007,-0.069521
2.975591e-007,-0.0648598
2.977591e-007,-0.0621322
2.979591e-007,-0.0641693
2.981591e-007,-0.0666207
2.983591e-007,-0.0670523
2.985591e-007,-0.0690031
2.987591e-007,-0.0729046
2.989591e-007,-0.0731463
2.991591e-007,-0.0680363
2.993591e-007,-0.063496
2.995591e-007,-0.0642038
2.997591e-007,-0.0678291
2.999591e-007,-0.0695555
3.001591e-007,-0.0687268
3.003591e-007,-0.0679327
3.005591e-007,-0.0681226
3.007591e-007,-0.0678809
3.009591e-007,-0.0666725
3.011591e-007,-0.065792
3.013591e-007,-0.065792
3.015591e-007,-0.0656539
3.017591e-007,-0.0655331
3.019591e-007,-0.067622
3.021591e-007,-0.0713164
3.023591e-007,-0.0719896
3.025591e-007,-0.0688477
3.027591e-007,-0.067035
3.029591e-007,-0.0682607
3.031591e-007,-0.0688132
3.033591e-007,-0.0678809
3.035591e-007,-0.0679845
3.037591e-007,-0.0691066
3.039591e-007,-0.0690203
3.041591e-007,-0.0673458
3.043591e-007,-0.0661373
3.045591e-007,-0.0661718
3.047591e-007,-0.0661718
3.049591e-007,-0.06612
3.051591e-007,-0.06612
3.053591e-007,-0.0646872
3.055591e-007,-0.0627364
3.057591e-007,-0.0633579
3.059591e-007,-0.0659474
