LECROYWR6050A,16172,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,11-Jun-2009 13:00:58,0                 
Time,Ampl
2.729591e-007,-0.110311
2.731591e-007,-0.107877
2.733591e-007,-0.10817
2.735591e-007,-0.111433
2.737591e-007,-0.111588
2.739591e-007,-0.107048
2.741591e-007,-0.103647
2.743591e-007,-0.105097
2.745591e-007,-0.108395
2.747591e-007,-0.109534
2.749591e-007,-0.10981
2.751591e-007,-0.11259
2.753591e-007,-0.115317
2.755591e-007,-0.113194
2.757591e-007,-0.10855
2.759591e-007,-0.106703
2.761591e-007,-0.1071
2.763591e-007,-0.106409
2.765591e-007,-0.104856
2.767591e-007,-0.104752
2.769591e-007,-0.106185
2.771591e-007,-0.107324
2.773591e-007,-0.107687
2.775591e-007,-0.108412
2.777591e-007,-0.109966
2.779591e-007,-0.111657
2.781591e-007,-0.112503
2.783591e-007,-0.111951
2.785591e-007,-0.110673
2.787591e-007,-0.109379
2.789591e-007,-0.108774
2.791591e-007,-0.111088
2.793591e-007,-0.115801
2.795591e-007,-0.11713
2.797591e-007,-0.1124
2.799591e-007,-0.107031
2.801591e-007,-0.106185
2.803591e-007,-0.109016
2.805591e-007,-0.111554
2.807591e-007,-0.110363
2.809591e-007,-0.106547
2.811591e-007,-0.104821
2.813591e-007,-0.106547
2.815591e-007,-0.10912
2.817591e-007,-0.111208
2.819591e-007,-0.112503
2.821591e-007,-0.112158
2.823591e-007,-0.110846
2.825591e-007,-0.110086
2.827591e-007,-0.110155
2.829591e-007,-0.110552
2.831591e-007,-0.110518
2.833591e-007,-0.109689
2.835591e-007,-0.109361
2.837591e-007,-0.110449
2.839591e-007,-0.11145
2.841591e-007,-0.110742
2.843591e-007,-0.109672
2.845591e-007,-0.111243
2.847591e-007,-0.114143
2.849591e-007,-0.112918
2.851591e-007,-0.107963
2.853591e-007,-0.106427
2.855591e-007,-0.109171
2.857591e-007,-0.110794
2.859591e-007,-0.11076
2.861591e-007,-0.110967
2.863591e-007,-0.109517
2.865591e-007,-0.105615
2.867591e-007,-0.103077
2.869591e-007,-0.104683
2.871591e-007,-0.107756
2.873591e-007,-0.108222
2.875591e-007,-0.106703
2.877591e-007,-0.107203
2.879591e-007,-0.111467
2.881591e-007,-0.116629
2.883591e-007,-0.117475
2.885591e-007,-0.112521
2.887591e-007,-0.106962
2.889591e-007,-0.10634
2.891591e-007,-0.109016
2.893591e-007,-0.110449
2.895591e-007,-0.110725
2.897591e-007,-0.111295
2.899591e-007,-0.111191
2.901591e-007,-0.110397
2.903591e-007,-0.110138
2.905591e-007,-0.110466
2.907591e-007,-0.111312
2.909591e-007,-0.112279
2.911591e-007,-0.11202
2.913591e-007,-0.110121
2.915591e-007,-0.107549
2.917591e-007,-0.10596
2.919591e-007,-0.107169
2.921591e-007,-0.110242
2.923591e-007,-0.111692
2.925591e-007,-0.111208
2.927591e-007,-0.111675
2.929591e-007,-0.11309
2.931591e-007,-0.113643
2.933591e-007,-0.11347
2.935591e-007,-0.112521
2.937591e-007,-0.110863
2.939591e-007,-0.110656
2.941591e-007,-0.111865
2.943591e-007,-0.110742
2.945591e-007,-0.106219
2.947591e-007,-0.102922
2.949591e-007,-0.104441
2.951591e-007,-0.107859
2.953591e-007,-0.108325
2.955591e-007,-0.105943
2.957591e-007,-0.104286
2.959591e-007,-0.104752
2.961591e-007,-0.105788
2.963591e-007,-0.106427
2.965591e-007,-0.108395
2.967591e-007,-0.111882
2.969591e-007,-0.112935
2.971591e-007,-0.109896
2.973591e-007,-0.107393
2.975591e-007,-0.108446
2.977591e-007,-0.10981
2.979591e-007,-0.109776
2.981591e-007,-0.110725
2.983591e-007,-0.112641
2.985591e-007,-0.112624
2.987591e-007,-0.110294
2.989591e-007,-0.108567
2.991591e-007,-0.109568
2.993591e-007,-0.111554
2.995591e-007,-0.111865
2.997591e-007,-0.111001
2.999591e-007,-0.110898
3.001591e-007,-0.112193
3.003591e-007,-0.11454
3.005591e-007,-0.116284
3.007591e-007,-0.114454
3.009591e-007,-0.10924
3.011591e-007,-0.105149
3.013591e-007,-0.105805
3.015591e-007,-0.110345
3.017591e-007,-0.114713
3.019591e-007,-0.115542
3.021591e-007,-0.112469
3.023591e-007,-0.106979
3.025591e-007,-0.102749
3.027591e-007,-0.1042
3.029591e-007,-0.109361
3.031591e-007,-0.111364
3.033591e-007,-0.108999
3.035591e-007,-0.106755
3.037591e-007,-0.107445
3.039591e-007,-0.11019
3.041591e-007,-0.111537
3.043591e-007,-0.109931
3.045591e-007,-0.108809
3.047591e-007,-0.109344
3.049591e-007,-0.107013
3.051591e-007,-0.101973
3.053591e-007,-0.10073
3.055591e-007,-0.104666
3.057591e-007,-0.108429
3.059591e-007,-0.109258
3.061591e-007,-0.10874
3.063591e-007,-0.108101
3.065591e-007,-0.107324
3.067591e-007,-0.107272
3.069591e-007,-0.10817
3.071591e-007,-0.107825
3.073591e-007,-0.10489
3.075591e-007,-0.101869
3.077591e-007,-0.10161
3.079591e-007,-0.104061
3.081591e-007,-0.107877
3.083591e-007,-0.111692
3.085591e-007,-0.113729
3.087591e-007,-0.112762
3.089591e-007,-0.109275
3.091591e-007,-0.10615
3.093591e-007,-0.106755
3.095591e-007,-0.110328
3.097591e-007,-0.112193
3.099591e-007,-0.110276
3.101591e-007,-0.108015
3.103591e-007,-0.108964
3.105591e-007,-0.11088
3.107591e-007,-0.108895
3.109591e-007,-0.105045
3.111591e-007,-0.106288
3.113591e-007,-0.112227
3.115591e-007,-0.11549
3.117591e-007,-0.113936
3.119591e-007,-0.111795
3.121591e-007,-0.111191
3.123591e-007,-0.110345
3.125591e-007,-0.107894
3.127591e-007,-0.104994
3.129591e-007,-0.103578
3.131591e-007,-0.103682
3.133591e-007,-0.104925
3.135591e-007,-0.108429
3.137591e-007,-0.112745
3.139591e-007,-0.113867
3.141591e-007,-0.112607
3.143591e-007,-0.112987
3.145591e-007,-0.114212
3.147591e-007,-0.113159
3.149591e-007,-0.11038
3.151591e-007,-0.107877
3.153591e-007,-0.106288
3.155591e-007,-0.106392
3.157591e-007,-0.109189
3.159591e-007,-0.11202
3.161591e-007,-0.110622
3.163591e-007,-0.106565
3.165591e-007,-0.106029
3.167591e-007,-0.109586
3.169591e-007,-0.11221
3.171591e-007,-0.111847
3.173591e-007,-0.110224
3.175591e-007,-0.109689
3.177591e-007,-0.111139
3.179591e-007,-0.11183
3.181591e-007,-0.10981
3.183591e-007,-0.108567
3.185591e-007,-0.109776
3.187591e-007,-0.11019
3.189591e-007,-0.109672
3.191591e-007,-0.110259
3.193591e-007,-0.109758
3.195591e-007,-0.106616
3.197591e-007,-0.103923
3.199591e-007,-0.103889
3.201591e-007,-0.104786
3.203591e-007,-0.104925
3.205591e-007,-0.105149
3.207591e-007,-0.106064
3.209591e-007,-0.106582
3.211591e-007,-0.106668
3.213591e-007,-0.10748
3.215591e-007,-0.107756
3.217591e-007,-0.10584
3.219591e-007,-0.103975
3.221591e-007,-0.105494
3.223591e-007,-0.109845
3.225591e-007,-0.113487
3.227591e-007,-0.114402
3.229591e-007,-0.113919
3.231591e-007,-0.113246
3.233591e-007,-0.111675
3.235591e-007,-0.109638
3.237591e-007,-0.10836
3.239591e-007,-0.107048
3.241591e-007,-0.105909
3.243591e-007,-0.107773
3.245591e-007,-0.112279
3.247591e-007,-0.11473
3.249591e-007,-0.113125
3.251591e-007,-0.110363
3.253591e-007,-0.109379
3.255591e-007,-0.109672
3.257591e-007,-0.109102
3.259591e-007,-0.107997
3.261591e-007,-0.108533
3.263591e-007,-0.110104
3.265591e-007,-0.110259
